age,gender,marital_status,months_at_company,num_appraisals,base_salary,num_penalties,num_raise_requests,num_benefits,past_performance_score,sentiment_score,attendance_rate,completion_rate,attrition_risk
46,Female,Single,120,6,7609.15,0,5,3,2,2,0.954,0.357,1
48,Female,Single,106,8,15308.6,10,1,0,4,1,0.895,0.192,4
41,Female,Single,25,3,8787.55,3,1,9,1,3,0.97,0.21,3
46,Male,Married,31,4,7446.79,3,4,6,4,4,0.908,0.27,2
30,Female,Married,1,2,5710.93,7,4,1,4,1,0.908,0.741,4
38,Male,Single,73,5,15464.86,10,1,7,2,4,0.917,0.603,5
35,Female,Divorced,18,9,19899.71,7,5,8,1,0,0.982,0.067,5
52,Female,Divorced,3,1,7652.85,1,3,4,3,4,0.873,0.456,1
53,Female,Single,80,0,17354.79,9,0,7,4,2,0.94,0.938,4
33,Female,Married,77,6,14007.92,7,4,1,2,1,0.948,0.461,3
46,Female,Married,80,1,10650.76,5,0,0,3,1,0.942,0.624,3
39,Male,Married,59,5,3294.25,3,0,6,4,1,0.89,0.414,1
56,Male,Single,55,6,4604.47,10,1,8,1,0,0.943,0.832,5
36,Male,Married,115,9,17433.98,4,2,4,0,2,0.855,0.714,4
35,Female,Single,2,0,11150.0,8,3,1,3,4,0.978,0.325,3
41,Male,Married,81,6,6892.95,5,2,5,1,2,0.945,0.571,3
43,Female,Single,83,5,5022.46,8,3,2,0,1,0.963,0.967,4
38,Male,Married,89,8,14990.72,8,3,10,1,4,0.867,0.582,4
51,Male,Married,19,10,4783.25,6,1,2,3,1,0.873,0.844,3
31,Female,Divorced,107,5,5402.0,5,1,5,4,2,0.971,0.77,3
36,Female,Divorced,44,10,4205.76,7,2,5,0,0,0.946,0.572,4
37,Male,Divorced,110,7,6049.63,10,5,9,3,1,0.951,0.625,5
42,Male,Married,93,10,15042.66,10,0,1,1,3,0.963,0.018,4
45,Female,Married,82,4,9646.3,2,5,6,4,4,0.907,0.286,1
